anime_id,name,rating,genres,users_watched,users_rated,url
33,Kenpuu Denki Berserk,8.54,"Action,Adventure,Drama,Fantasy,Horror,Supernatural,Gore,Military,Mythology,Seinen",548221,293480,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
21939,Mushishi Zoku Shou,8.7,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural,Adult Cast,Historical,Iyashikei,Seinen",272380,107898,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
38889,Kono Oto Tomare! Part 2,8.43,"Drama,Romance,Music,Performing Arts,School,Shounen",141645,75844,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
30,Neon Genesis Evangelion,8.34,"Action,Avant Garde,Drama,Sci-Fi,Mecha,Psychological",1577154,940938,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
2685,Tsubasa: Tokyo Revelations,8.29,"Action,Adventure,Drama,Fantasy,Romance,Shounen",90097,43459,https://myanimelist.net/anime/2685/Tsubasa__Tokyo_Revelations
2966,Ookami to Koushinryou,8.23,"Adventure,Fantasy,Romance,Adult Cast,Historical",748249,364345,https://myanimelist.net/anime/2966/Ookami_to_Koushinryou
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.23,"Action,Drama,Sci-Fi,Mecha,Space",123153,69445,https://myanimelist.net/anime/33051/Mobile_Suit_Gundam__Iron-Blooded_Orphans_2nd_Season
32843,Senki Zesshou Symphogear XV,8.19,"Action,Sci-Fi,Idols (Female),Music",34642,11982,https://myanimelist.net/anime/32843/Senki_Zesshou_Symphogear_XV
39198,Kanata no Astra,8.1,"Adventure,Mystery,Sci-Fi,Space,Survival,Shounen",264777,129276,https://myanimelist.net/anime/39198/Kanata_no_Astra
2164,Dennou Coil,8.06,"Adventure,Comedy,Drama,Mystery,Sci-Fi",136460,40977,https://myanimelist.net/anime/2164/Dennou_Coil
9963,Detective Conan Movie 15: Quarter of Silence,8.02,"Adventure,Comedy,Mystery,Detective,Shounen",43344,25185,https://myanimelist.net/anime/9963/Detective_Conan_Movie_15__Quarter_of_Silence
31173,Akagami no Shirayuki-hime 2nd Season,7.98,"Drama,Fantasy,Romance,Shoujo",322420,179997,https://myanimelist.net/anime/31173/Akagami_no_Shirayuki-hime_2nd_Season
25879,Working!!!,7.98,"Comedy,Romance,Workplace,Seinen",229808,119968,https://myanimelist.net/anime/25879/Working
31490,One Piece Film: Gold,7.91,"Action,Adventure,Fantasy,Shounen",173980,104771,https://myanimelist.net/anime/31490/One_Piece_Film__Gold
48171,Summer Ghost,7.88,Supernatural,47855,14352,https://myanimelist.net/anime/48171/Summer_Ghost
2623,Flanders no Inu (Movie),7.85,"Drama,Historical,Pets,Visual Arts",20410,5283,https://myanimelist.net/anime/2623/Flanders_no_Inu_Movie
12445,Tasogare Otome x Amnesia,7.83,"Horror,Mystery,Romance,Supernatural,School,Shounen",369381,170888,https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia
39575,Somali to Mori no Kamisama,7.83,"Adventure,Drama,Fantasy,Slice of Life,Childcare,Mythology",257179,104675,https://myanimelist.net/anime/39575/Somali_to_Mori_no_Kamisama
33190,Planetarian: Hoshi no Hito,7.83,"Drama,Sci-Fi",43151,13589,https://myanimelist.net/anime/33190/Planetarian__Hoshi_no_Hito
795,Oniisama e...,7.83,"Drama,Girls Love,Psychological,School,Shoujo",39746,8770,https://myanimelist.net/anime/795/Oniisama_e
34745,Mahoujin Guruguru (2017),7.83,"Adventure,Comedy,Fantasy,Shounen",30826,9714,https://myanimelist.net/anime/34745/Mahoujin_Guruguru_2017
40082,Lupin III: The First,7.83,"Action,Adventure,Comedy,Mystery,Adult Cast,Seinen",26240,13398,https://myanimelist.net/anime/40082/Lupin_III__The_First
2762,Igano Kabamaru,7.83,"Action,Adventure,Comedy,Romance,School,Shoujo",10075,3838,https://myanimelist.net/anime/2762/Igano_Kabamaru
3604,Hidamari Sketch x 365,7.83,"Comedy,Slice of Life,CGDCT,Iyashikei,School,Visual Arts,Seinen",29846,14863,https://myanimelist.net/anime/3604/Hidamari_Sketch_x_365
40372,Haikyuu!! (OVA),7.83,"Sports,Team Sports,Shounen",26319,8540,https://myanimelist.net/anime/40372/Haikyuu_OVA
12893,Danshi Koukousei no Nichijou Specials,7.83,"Comedy,Gag Humor,School,Shounen",125950,69032,https://myanimelist.net/anime/12893/Danshi_Koukousei_no_Nichijou_Specials
388,Capeta,7.83,"Racing,Shounen",24189,10844,https://myanimelist.net/anime/388/Capeta
40215,Aggressive Retsuko (ONA) 3rd Season,7.83,"Comedy,Slice of Life,Anthropomorphic,Workplace",73229,47391,https://myanimelist.net/anime/40215/Aggressive_Retsuko_ONA_3rd_Season
32998,91 Days,7.83,"Action,Drama,Historical,Organized Crime",630865,290576,https://myanimelist.net/anime/32998/91_Days
6862,K-On!: Live House!,7.84,"Comedy,CGDCT,Music,School",147917,90939,https://myanimelist.net/anime/6862/K-On__Live_House
267,Gungrave,7.84,"Action,Drama,Sci-Fi,Adult Cast,Gore,Organized Crime,Super Power,Seinen",174471,65470,https://myanimelist.net/anime/267/Gungrave
2828,Ie Naki Ko,7.84,"Adventure,Drama,Slice of Life,Historical,Kids",13466,4283,https://myanimelist.net/anime/2828/Ie_Naki_Ko
2035,Eikoku Koi Monogatari Emma: Molders-hen,7.84,"Drama,Romance,Slice of Life,Historical,Seinen",24537,11495,https://myanimelist.net/anime/2035/Eikoku_Koi_Monogatari_Emma__Molders-hen
35798,Detective Conan Movie 22: Zero the Enforcer,7.84,"Action,Drama,Mystery,Detective",25747,13817,https://myanimelist.net/anime/35798/Detective_Conan_Movie_22__Zero_the_Enforcer
41461,Date A Live IV,7.84,"Comedy,Romance,Sci-Fi,Harem",184993,44142,https://myanimelist.net/anime/41461/Date_A_Live_IV
9465,Break Blade Movie 4: Sanka no Chi,7.84,"Action,Fantasy,Adult Cast,Mecha,Military,Shounen",56094,34062,https://myanimelist.net/anime/9465/Break_Blade_Movie_4__Sanka_no_Chi
40935,Beastars 2nd Season,7.84,"Drama,Slice of Life,Anthropomorphic,Psychological,School,Shounen",373558,183004,https://myanimelist.net/anime/40935/Beastars_2nd_Season
24921,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.84,"Action,Sci-Fi,Seinen",29432,11903,https://myanimelist.net/anime/24921/Aoki_Hagane_no_Arpeggio__Ars_Nova_Movie_2_-_Cadenza
6586,Yume-iro Pâtissière,7.84,"Gourmet,School,Shoujo",74722,36594,https://myanimelist.net/anime/6586/Yume-iro_P%C3%A2tissi%C3%A8re
849,Suzumiya Haruhi no Yuuutsu,7.84,"Comedy,Mystery,Sci-Fi,Slice of Life,School",852019,450122,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu
3588,Soul Eater,7.84,"Action,Comedy,Fantasy,Supernatural,Shounen",1480071,781597,https://myanimelist.net/anime/3588/Soul_Eater
4163,Seto no Hanayome OVA,7.84,"Comedy,Romance,Parody,School,Shounen",50646,27179,https://myanimelist.net/anime/4163/Seto_no_Hanayome_OVA
34504,Seitokai Yakuindomo Movie,7.84,"Comedy,Gag Humor,School,Shounen",53483,21876,https://myanimelist.net/anime/34504/Seitokai_Yakuindomo_Movie
30952,New Initial D Movie: Legend 3 - Mugen,7.84,"Racing,Seinen",22970,10666,https://myanimelist.net/anime/30952/New_Initial_D_Movie__Legend_3_-_Mugen
4087,Michiko to Hatchin,7.84,"Action,Adventure",181239,56567,https://myanimelist.net/anime/4087/Michiko_to_Hatchin
1921,Urusei Yatsura 2: Beautiful Dreamer,7.85,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",16153,7264,https://myanimelist.net/anime/1921/Urusei_Yatsura_2__Beautiful_Dreamer
17909,Uchouten Kazoku,7.85,"Comedy,Drama,Fantasy,Slice of Life,Mythology",155946,51196,https://myanimelist.net/anime/17909/Uchouten_Kazoku
49571,Tunshi Xingkong 2nd Season,7.85,"Action,Adventure,Sci-Fi",1735,427,https://myanimelist.net/anime/49571/Tunshi_Xingkong_2nd_Season
32093,Tanaka-kun wa Itsumo Kedaruge,7.85,"Slice of Life,Iyashikei,School",414460,191478,https://myanimelist.net/anime/32093/Tanaka-kun_wa_Itsumo_Kedaruge
400,Seihou Bukyou Outlaw Star,7.85,"Action,Adventure,Comedy,Sci-Fi,Space",142631,59616,https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star
322,Paradise Kiss,7.85,"Comedy,Drama,Romance,Slice of Life,Visual Arts,Josei",196560,87571,https://myanimelist.net/anime/322/Paradise_Kiss
32547,Non Non Biyori Repeat: Hotaru ga Tanoshinda,7.85,"Slice of Life,CGDCT,Iyashikei,School,Seinen",44223,22099,https://myanimelist.net/anime/32547/Non_Non_Biyori_Repeat__Hotaru_ga_Tanoshinda
31741,Magi: Sinbad no Bouken (TV),7.85,"Action,Adventure,Fantasy,Shounen",437902,239072,https://myanimelist.net/anime/31741/Magi__Sinbad_no_Bouken_TV
49776,Kumichou Musume to Sewagakari,7.85,"Slice of Life,Childcare,Organized Crime",71279,8930,https://myanimelist.net/anime/49776/Kumichou_Musume_to_Sewagakari
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,7.85,"Comedy,Fantasy,Isekai,Parody,Reincarnation",358425,233073,https://myanimelist.net/anime/32380/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kono_Subarashii_Choker_ni_Shukufuku_wo
28725,Kokoro ga Sakebitagatterunda.,7.85,"Drama,Romance,Performing Arts,School",298023,144131,https://myanimelist.net/anime/28725/Kokoro_ga_Sakebitagatterunda
